Entity,Code,Year,Deaths
Afghanistan,AFG,2012,6.813385286034996
Albania,ALB,2012,5.062668912263671
Algeria,DZA,2012,3.836444723955614
American Samoa,ASM,2012,6.790943687614504
Andorra,AND,2012,7.27107201178497
Angola,AGO,2012,13.323193792518827
Antigua and Barbuda,ATG,2012,2.767741166474772
Argentina,ARG,2012,10.828088571153431
Armenia,ARM,2012,8.620360914862143
Australia,AUS,2012,10.739709494210535
Austria,AUT,2012,12.269534889433755
Azerbaijan,AZE,2012,4.084753695599346
Bahamas,BHS,2012,2.819989746386591
Bahrain,BHR,2012,5.6795984719580295
Bangladesh,BGD,2012,5.162747528898822
Barbados,BRB,2012,3.749305668087557
Belarus,BLR,2012,23.443464691657088
Belgium,BEL,2012,16.650814753079732
Belize,BLZ,2012,7.188527621645472
Benin,BEN,2012,11.910356572384948
Bermuda,BMU,2012,3.3793201177000927
Bhutan,BTN,2012,6.110874403518957
Bolivia,BOL,2012,7.247490310336214
Bosnia and Herzegovina,BIH,2012,8.51210882131618
Botswana,BWA,2012,21.902835459849552
Brazil,BRA,2012,6.05163686635801
Brunei,BRN,2012,5.66453627718955
Bulgaria,BGR,2012,10.680574564872472
Burkina Faso,BFA,2012,12.67789822827806
Burundi,BDI,2012,13.430495901809127
Cambodia,KHM,2012,5.430922550324513
Cameroon,CMR,2012,14.946020108871098
Canada,CAN,2012,11.195424927728254
Cape Verde,CPV,2012,16.684470917151167
Central African Republic,CAF,2012,20.666466111953795
Chad,TCD,2012,14.396329837582542
Chile,CHL,2012,10.52737911378497
China,CHN,2012,8.458367882155256
Colombia,COL,2012,5.73621226290078
Comoros,COM,2012,6.727946599732828
Congo,COG,2012,13.039054003302716
Cook Islands,COK,2012,11.946201949294972
Costa Rica,CRI,2012,7.061698946715198
Cote d'Ivoire,CIV,2012,14.84183448719269
Croatia,HRV,2012,12.659281992628149
Cuba,CUB,2012,11.148714533940366
Cyprus,CYP,2012,4.181403957453776
Czechia,CZE,2012,12.658319064578771
Democratic Republic of Congo,COD,2012,12.50540801574158
Denmark,DNK,2012,9.12516339077827
Djibouti,DJI,2012,9.894407644310036
Dominica,DMA,2012,4.865597989148146
Dominican Republic,DOM,2012,6.817260401383258
Ecuador,ECU,2012,10.147939396501489
Egypt,EGY,2012,3.678187051235324
El Salvador,SLV,2012,7.596363410828795
Equatorial Guinea,GNQ,2012,10.006298971880126
Eritrea,ERI,2012,14.83090741493328
Estonia,EST,2012,14.722577674721956
Eswatini,SWZ,2012,28.27958342220201
Ethiopia,ETH,2012,11.822474016994494
Fiji,FJI,2012,10.01500597935768
Finland,FIN,2012,14.754230858590734
France,FRA,2012,14.405705321737308
Gabon,GAB,2012,14.259090849494008
Gambia,GMB,2012,8.806399015619355
Georgia,GEO,2012,6.531322415678026
Germany,DEU,2012,9.606225663843151
Ghana,GHA,2012,10.701052126805422
Greece,GRC,2012,3.598069279575393
Greenland,GRL,2012,63.94397089398248
Grenada,GRD,2012,4.849524836577028
Guam,GUM,2012,17.439330145131258
Guatemala,GTM,2012,6.104574453565595
Guinea,GIN,2012,11.661805259297209
Guinea-Bissau,GNB,2012,16.321600035718596
Guyana,GUY,2012,37.70294663533405
Haiti,HTI,2012,9.91970530395031
Honduras,HND,2012,3.488285115514686
Hungary,HUN,2012,16.876732293153726
Iceland,ISL,2012,9.663468050330431
India,IND,2012,15.868429525802512
Indonesia,IDN,2012,3.216741310990632
Iran,IRN,2012,5.468097620908263
Iraq,IRQ,2012,6.004676476143713
Ireland,IRL,2012,10.3949248111505
Israel,ISR,2012,6.170123923966821
Italy,ITA,2012,5.299950152077344
Jamaica,JAM,2012,2.688917001909396
Japan,JPN,2012,17.175000745584512
Jordan,JOR,2012,2.533664865556643
Kazakhstan,KAZ,2012,29.862615641640463
Kenya,KEN,2012,11.89694926456949
Kiribati,KIR,2012,28.003134910634248
Kuwait,KWT,2012,2.834215288322306
Kyrgyzstan,KGZ,2012,11.91884874642992
Laos,LAO,2012,7.0239103630133695
Latvia,LVA,2012,17.725111977992967
Lebanon,LBN,2012,3.426762397803641
Lesotho,LSO,2012,45.43131716157286
Liberia,LBR,2012,10.061725919340336
Libya,LBY,2012,4.627420151005063
Lithuania,LTU,2012,31.54366976147696
Luxembourg,LUX,2012,9.266587362923556
Madagascar,MDG,2012,10.425881331232045
Malawi,MWI,2012,12.797777886804925
Malaysia,MYS,2012,5.354311150685393
Maldives,MDV,2012,3.659549152319122
Mali,MLI,2012,7.88307166210325
Malta,MLT,2012,4.5556097263903785
Marshall Islands,MHL,2012,23.225445985726296
Mauritania,MRT,2012,6.902071123962068
Mauritius,MUS,2012,8.429890642268338
Mexico,MEX,2012,5.436681587139951
Micronesia (country),FSM,2012,23.48369487451198
Moldova,MDA,2012,14.5709552717128
Monaco,MCO,2012,11.311993241623387
Mongolia,MNG,2012,19.22306579980604
Montenegro,MNE,2012,15.147368319594742
Morocco,MAR,2012,8.430045920391239
Mozambique,MOZ,2012,16.87801229869358
Myanmar,MMR,2012,4.224536381092724
Namibia,NAM,2012,13.506332754382122
Nauru,NRU,2012,25.68389198595071
Nepal,NPL,2012,13.200937880773312
Netherlands,NLD,2012,9.294960385238536
New Zealand,NZL,2012,11.499476206031112
Nicaragua,NIC,2012,6.494547827967844
Niger,NER,2012,8.845591917090207
Nigeria,NGA,2012,8.459607020918515
Niue,NIU,2012,12.258891846256478
North Korea,PRK,2012,10.510481215606346
North Macedonia,MKD,2012,8.122747551298204
Northern Mariana Islands,MNP,2012,17.022536621669722
Norway,NOR,2012,9.86177503549987
Oman,OMN,2012,3.3804750579462173
Pakistan,PAK,2012,9.000346289212336
Palau,PLW,2012,13.413144951925576
Palestine,PSE,2012,2.7055108796746308
Panama,PAN,2012,5.357943202743929
Papua New Guinea,PNG,2012,3.732181471489053
Paraguay,PRY,2012,5.603535169750178
Peru,PER,2012,3.369945787360922
Philippines,PHL,2012,4.04115979023404
Poland,POL,2012,15.996909828188167
Portugal,PRT,2012,9.324606202603078
Puerto Rico,PRI,2012,6.100098144999151
Qatar,QAT,2012,4.752484000184755
Romania,ROU,2012,9.903857081030406
Russia,RUS,2012,27.4752515684442
Rwanda,RWA,2012,9.680595189113106
Saint Kitts and Nevis,KNA,2012,3.6401514600779374
Saint Lucia,LCA,2012,6.422423858690406
Saint Vincent and the Grenadines,VCT,2012,6.180550927506767
Samoa,WSM,2012,13.694605703825442
San Marino,SMR,2012,9.080038819275243
Sao Tome and Principe,STP,2012,2.392817845078512
Saudi Arabia,SAU,2012,4.670859214803572
Senegal,SEN,2012,12.158454983560938
Serbia,SRB,2012,14.30307641546185
Seychelles,SYC,2012,7.129026381939705
Sierra Leone,SLE,2012,10.296173333053035
Singapore,SGP,2012,7.727803999248799
Slovakia,SVK,2012,11.43998226985739
Slovenia,SVN,2012,15.75780380326582
Solomon Islands,SLB,2012,25.77959813163564
Somalia,SOM,2012,13.111433140669034
South Africa,ZAF,2012,14.40625368001027
South Korea,KOR,2012,24.64455825553201
South Sudan,SSD,2012,8.934251824084907
Spain,ESP,2012,5.901969467991411
Sri Lanka,LKA,2012,19.62563448245546
Sudan,SDN,2012,6.31977785183218
Suriname,SUR,2012,24.20852109792458
Sweden,SWE,2012,11.915672234619722
Switzerland,CHE,2012,10.8915599541751
Syria,SYR,2012,2.316415068967625
Taiwan,TWN,2012,14.565437427524326
Tajikistan,TJK,2012,5.454073179121955
Tanzania,TZA,2012,10.331677640549964
Thailand,THA,2012,8.622560986200531
Timor,TLS,2012,5.327890811211018
Togo,TGO,2012,12.800158420105248
Tokelau,TKL,2012,10.862365394141564
Tonga,TON,2012,5.122388223984104
Trinidad and Tobago,TTO,2012,9.820116890293368
Tunisia,TUN,2012,3.5082956784225496
Turkey,TUR,2012,2.8367464077943665
Turkmenistan,TKM,2012,8.912114788314723
Tuvalu,TUV,2012,16.87753544465698
Uganda,UGA,2012,11.703101596494673
Ukraine,UKR,2012,18.73519388143995
United Arab Emirates,ARE,2012,5.666374677459196
United Kingdom,GBR,2012,7.079234496101639
United States,USA,2012,11.883801014501216
United States Virgin Islands,VIR,2012,6.250018592616363
Uruguay,URY,2012,17.386614808873162
Uzbekistan,UZB,2012,11.193314998414412
Vanuatu,VUT,2012,20.070309355641964
Venezuela,VEN,2012,7.694245726894135
Vietnam,VNM,2012,8.05419671123982
World,OWID_WRL,2012,10.611161970579875
Yemen,YEM,2012,5.8755116853989415
Zambia,ZMB,2012,15.218264041596017
Zimbabwe,ZWE,2012,24.749448629340662
