Year,5-14 years,15-49 years,50-69 years,70+ years
1990,12500,482651,164982,78954
1991,12684,491122,167874,81191
1992,12856,502597,171948,83180
1993,12871,516126,177744,85464
1994,12988,537294,180527,87177
1995,13170,546675,178141,88246
1996,13082,542608,175839,88917
1997,13117,543407,176008,90427
1998,13384,548585,176251,91929
1999,13842,555191,178529,93602
2000,13923,552096,179013,94517
2001,13147,535462,178301,94138
2002,11862,521820,182078,95742
2003,10942,513013,189267,101609
2004,10685,511257,191902,105740
2005,10794,512544,194782,108311
2006,10442,503754,192336,107908
2007,10039,494358,190609,107825
2008,9738,490049,189572,108520
2009,9818,480983,187005,108390
2010,9920,478945,187410,108494
2011,9682,472724,187674,107446
2012,9276,463382,188502,106172
2013,8858,453661,188053,105303
2014,9043,441868,189500,104656
2015,9063,435066,194183,104650
2016,8589,432586,196252,105828
2017,8231,432224,195643,107851
2018,8427,440085,196082,110863
2019,8327,440445,196527,113730
